BattlefyName,IGN,Pokepaste
ArcticPix3000,ArcticPix,"=HYPERLINK(""https://pokepast.es/857392ce405d9329"")"
ashiiro,Ashiro,"=HYPERLINK(""https://pokepast.es/857392ce405d9329"")"
fourdollaremo,Tyler,"=HYPERLINK(""https://pokepast.es/4a298eeec224d509"")"
gamesmgh3,Matt,"=HYPERLINK(""https://pokepast.es/0678113887ad11c1"")"
franciscoj2herrera,BIO,"=HYPERLINK(""https://pokepast.es/aceb9ce255cbe857"")"
thierrysmall12,Thierry,"=HYPERLINK(""https://pokepast.es/7dcd1505e590b68f"")"
samuelbaranda99,Samuel,"=HYPERLINK(""https://pokepast.es/82948d7c620bbe6f"")"
pkscaturro522,Peter,"=HYPERLINK(""Farigiraf (F) @ Throat Spray   Ability: Armor Tail   Level: 50   Tera Type: Fairy   - Psychic   - Hyper Voice   - Helping Hand   - Trick Room    Electabuzz @ Eviolite   Ability: Vital Spirit   Level: 50   Tera Type: Electric   - Knock Off   - Volt Switch   - Follow Me   - Taunt    Dragonite @ Assault Vest   Ability: Inner Focus   Level: 50   Tera Type: Normal   - Extreme Speed   - Stomping Tantrum   - Ice Spinner   - Rock Slide    Sinistcha-Masterpiece @ Sitrus Berry   Ability: Hospitality   Level: 50   Tera Type: Water   - Matcha Gotcha   - Shadow Ball   - Calm Mind   - Trick Room    Gastrodon @ Leftovers   Ability: Storm Drain   Level: 50   Tera Type: Fairy   - Earth Power   - Ice Beam   - Clear Smog   - Protect    Torkoal @ Charcoal   Ability: Drought   Level: 50   Tera Type: Fire   - Eruption   - Heat Wave   - Earth Power   - Body Press"")"
cochiselabrie,Cochamo,"=HYPERLINK(""https://pokepast.es/3d04b140af38e69a"")"
Mocha_06,Mocha,"=HYPERLINK(""https://pokepast.es/c016c130b061134c"")"
eienkibou,Juliana,"=HYPERLINK(""https://pokepast.es/6b24954ac5ba43ed"")"
mekkhii,Mekkhii,"=HYPERLINK(""https://pokepast.es/cd9672c4c55b8c13"")"
lvnlarge27,Chris,"=HYPERLINK(""https://pokepast.es/a08b2bf5316fbf09"")"
Espybrave,Espy,"=HYPERLINK(""https://pokepast.es/802433b9311ba01f"")"
actornadoboy,Adam,"=HYPERLINK(""https://pokepast.es/1d40a7f271d503ee"")"
RaginDevonian,Ragin,"=HYPERLINK(""https://pokepast.es/e8befb309d4f1309"")"
christianrivera082005,Koopa Troopa,"=HYPERLINK(""https://pokepast.es/01ba2c2974c1e0a1"")"
Lightstarjo,Elbert,"=HYPERLINK(""https://pokepast.es/30828d2c8e0963fe"")"
たさあは,リラックス,"=HYPERLINK(""https://pokepast.es/2c2c498d25426d47"")"
swaroopbhagavtula,Swaroop,"=HYPERLINK(""https://pokepast.es/bebb8ab8009c1ed8"")"
GTheDon,Gareth,"=HYPERLINK(""https://pokepast.es/8509e7484b77114f"")"
hyperlutrinae,Lewlo,"=HYPERLINK(""https://pokepast.es/10d1d0dc3d3c7592"")"
beno16-1,Birdpunk,"=HYPERLINK(""https://pokepast.es/d13262c21e59e88e"")"
samulucin,Samuel,"=HYPERLINK(""https://pokepast.es/a3de6bb198808449"")"
Nehzzy,Nehzzy,"=HYPERLINK(""https://pokepast.es/d66fd13b1cb72f90"")"
MoxieBoosted,MoxieBoosted,"=HYPERLINK(""https://pokepast.es/4f673b430916a478"")"
Pattemore,Sarah,"=HYPERLINK(""https://pokepast.es/bad6554be925700f"")"
rjc77,Rich,"=HYPERLINK(""https://pokepast.es/83121cce9ba6b01e"")"
Azun Kurone,Azun,"=HYPERLINK(""https://pokepast.es/ef304ab130ff5aea"")"
ralfdude90,Ralf,"=HYPERLINK(""https://pokepast.es/ab2b76621f9d044f"")"
Thud,Thud,"=HYPERLINK(""https://pokepast.es/83b133cc08061054"")"
efernan103114,Erick,"=HYPERLINK(""https://pokepast.es/ae67d1ad51da7aa9"")"
opticjoe38,JoeUX9,"=HYPERLINK(""TBD"")"
waleed9165-1,Voidbunni,"=HYPERLINK(""https://pokepast.es/ff89f841a445f59f"")"
rayanleroux,Rayy,"=HYPERLINK(""https://pokepast.es/0f1bd9c54d6bc1db"")"
BigMikeOG,BIG MIKE,"=HYPERLINK(""https://pokepast.es/14771910b2c8f0f4"")"
IngeVGC,IngeVGC,"=HYPERLINK(""https://pokepast.es/c83691f14e379997"")"
anzevino4,Koopa,"=HYPERLINK(""https://pokepast.es/3a8e93d7851eff67"")"
Animod,Animod,"=HYPERLINK(""https://pokepast.es/dd42f920fbaea37e"")"
Sakuya_Hana,Lillian,"=HYPERLINK(""https://pokepast.es/68af574399e0f1f7"")"
PhMillerVGC,Phil,"=HYPERLINK(""https://pokepast.es/976e8395a50cec52"")"
FrancisKet,FrancisKet,"=HYPERLINK(""https://pokepast.es/2da29ccde76913a2"")"
pokeviolet29,バイオレット,"=HYPERLINK(""https://pokepast.es/07bfe19fde67b4ca"")"
